.id,id,name,parent_id/id
1,ALL,ALL products,
46,SRP,Materiels & Fournitures SHARP,ALL
47,PCS,PiŠces d‚tach‚es - Vehicules,ALL
48,VEH,Vehicules,ALL
49,JONWAY,JONWAY,ALL
51,FORCE,FORCE,ALL
52,DIVERS,DIVERS,ALL
402,HFC4183K3R,HFC4183K3R,ALL
403,HFC1020,HFC1020,ALL
404,HFC6500A1T,HFC6500A1T,ALL
405,HFC7240CG3,HFC7240CG3,ALL
406,3500EKDP30,3500EKDP30,ALL
407,HFC1035,HFC1035,ALL
408,HFC1040,HFC1040,ALL
409,HFC1048,HFC1048,ALL
410,HFC1083,HFC1083,ALL
411,KDE19STA3,KDE19STA3,ALL
412,BETON,BETON,ALL
413,BAJAJ,BAJAJ,ALL
414,BUS,BUS,ALL
415,FC1AII,FC1AII,ALL
416,CIMAR,CIMAR,ALL
417,CAMION,CAMION,ALL
418,COMPRESS,COMPRESSEUR,ALL
419,FCY15III,FCY15III,ALL
420,HFC1045,HFC1045,ALL
421,DFM,DFM,ALL
422,DUMPER,DUMPER,ALL
423,HFC3041,HFC3041,ALL
424,HFC3072,HFC3072,ALL
425,HFC6451,HFC6451,ALL
426,HFC7130AG3,HFC7130AG3,ALL
427,SCOOTER,SCOOTER,ALL
428,KDE45SS3,KDE45SS3,ALL
429,GARAGE,GARAGE,ALL
430,ELEVATEUR,ELEVATEUR,ALL
431,IGLB3000,IGLB3000,ALL
432,650T670P40,650T670P40,ALL
433,2200EKDP20,2200EKDP20,ALL
434,QUAD,QUAD,ALL
435,KGP40,KGP40,ALL
436,TRANSPALET,TRANSPALET,ALL
437,KDE100SS3,KDE100SS3,ALL
438,DFAC,DFAC,ALL
439,JZC200,JZC200,ALL
440,JZC350,JZC350,ALL
441,QUIN,QUNCALLERIE,ALL
442,KINGTECH,KINGTECH,ALL
443,HFC1125KR1,HFC1125KR1,ALL
444,IMP,IMPORT TRANSIT,ALL
445,KM376QC,KM376QC,ALL
446,KM178FGET,KM178FGET,ALL
447,KGE12E,KGE12E,ALL
448,HK6607K,HK6607K,ALL
449,HFC1040K2,HFC1040K2,ALL
450,HFC7130,HFC7130,ALL
451,HFC4183,HFC4183,ALL
452,HFC1125,HFC1125,ALL
453,JP,Jeep,ALL
454,ACHFBU,Fournitures de bureau,ALL
455,ACHFEL,Fournitures electrique,ALL
456,ACHAER,Accessoirs et piŠces auto,ALL
457,ACHPUB,Publicite,ALL
458,PE,PERCEUSE ELECTRIQUE,ALL
459,ACHSRV,Services,ALL
460,ACHTDT,Tenue de travail,ALL
461,ACHFIN,Fourniture info,ALL
462,CAR,CAR,ALL
463,ACHPPN,Porduits de premiere necessit‚,ALL
464,ACHCIN,Consommables informatiques,ALL
465,ACHOUT,Outillage,ALL